date,title,album,lyricist,hungama_id,provider,genre,actor_list,language,singers,shortUrl,keywords
1955,Jhar Uthechhe Baul Batas,Shap Mochan,{'Bimal Ghosh'},1957464,hungama,,{'Hemanta Mukherjee'},Bengali,{'Hemanta Mukherjee'},https://www.hungama.com/song/jhar-uthechhe-baul-batas/1957464/,"{'Shap Mochan', 'Hemanta Mukherjee', 'Jhar Uthechhe Baul Batas', 'Bimal Ghosh'}"
1958,Tomar Bhubone Mago,Morutirtho Hinglaj,{'Gouriprasanna Mazumder'},2131525,hungama,,{'Hemanta Mukherjee'},Bengali,{'Hemanta Mukherjee'},https://www.hungama.com/song/tomar-bhubone-mago/2131525/,"{'Morutirtho Hinglaj', 'Hemanta Mukherjee', 'Tomar Bhubone Mago', 'Gouriprasanna Mazumder'}"
1973,Bhola Mon Moner Katha,Bonpalasir Padabali,{'Gouriprasanna Mazumder'},2136921,hungama,,{'Shyamal Mitra'},Bengali,{'Shyamal Mitra'},https://www.hungama.com/song/bhola-mon-moner-katha/2136921/,"{'Gouriprasanna Mazumder', 'Bonpalasir Padabali', 'Bhola Mon Moner Katha', 'Shyamal Mitra'}"
1966,Aami Agantuk,Shankhabela,{'Pulak Bandopadhyay'},2134777,hungama,,{'Manna Dey'},Bengali,{'Manna Dey'},https://www.hungama.com/song/aami-agantuk/2134777/,"{'Manna Dey', 'Pulak Bandopadhyay', 'Shankhabela', 'Aami Agantuk'}"
1957,Eena Meena Deeka (Male),Aasha (1957),{'Rajendra Krishan'},1821749,hungama,,{'Kishore Kumar'},Hindi,{'Kishore Kumar'},https://www.hungama.com/song/eena-meena-deeka-%28male%29/1821749/,"{'Aasha (1957)', 'Kishore Kumar', 'Eena Meena Deeka (Male)', 'Rajendra Krishan'}"
1958,Ham The Woh Thi,Chalti Ka Naam Gaadi,{'Majrooh Sultanpuri'},1847728,hungama,,{'Kishore Kumar'},Hindi,{'Kishore Kumar'},https://www.hungama.com/song/ham-the-woh-thi/1847728/,"{'Majrooh Sultanpuri', 'Kishore Kumar', 'Ham The Woh Thi', 'Chalti Ka Naam Gaadi'}"
1980,Tune Abhi Dekha Nahin,Do Aur Do Paanch,{'Anjaan'},1845264,hungama,,{'Kishore Kumar'},Hindi,{'Kishore Kumar'},https://www.hungama.com/song/tune-abhi-dekha-nahin/1845264/,"{'Anjaan', 'Kishore Kumar', 'Do Aur Do Paanch', 'Tune Abhi Dekha Nahin'}"
1978,Mannu Bhai Motor Chali Pum Pum,Phool Khile Hain Gulshan Gulshan,{'Rajendra Krishan'},1847280,hungama,,"{'Asrani', 'Kishore Kumar'}",Hindi,"{'Asrani', 'Kishore Kumar'}",https://www.hungama.com/song/mannu-bhai-motor-chali-pum-pum/1847280/,"{'Kishore Kumar', 'Mannu Bhai Motor Chali Pum Pum', 'Asrani', 'Phool Khile Hain Gulshan Gulshan', 'Rajendra Krishan'}"
1958,Babu Samjho Ishare,Chalti Ka Naam Gaadi,{'Majrooh Sultanpuri'},1847723,hungama,,"{'Manna Dey', 'Kishore Kumar'}",Hindi,"{'Manna Dey', 'Kishore Kumar'}",https://www.hungama.com/song/babu-samjho-ishare/1847723/,"{'Manna Dey', 'Majrooh Sultanpuri', 'Kishore Kumar', 'Chalti Ka Naam Gaadi', 'Babu Samjho Ishare'}"
1962,Chil Chil Chilla Ke,Half Ticket,{'Shailendra'},1952708,hungama,,{'Kishore Kumar'},Hindi,{'Kishore Kumar'},https://www.hungama.com/song/chil-chil-chilla-ke/1952708/,"{'Half Ticket', 'Kishore Kumar', 'Shailendra', 'Chil Chil Chilla Ke'}"
